anio,mes,multilateral,usd,real,peso_chileno,euro,libra_esterlina,guarani,nuevo_shekel,peso_mexicano,peso_uruguayo
2001,Diciembre,100,100,100,100,100,100,100,100,100,100
2002,Enero,174.5558241,178.90295,172.005179,171.6752874,173.7686401,173.3504257,172.629046,172.2050964,179.7168276,174.9425362
2002,Febrero,201.0870152,206.2939006,200.9894609,198.5435073,200.9115453,200.3507854,193.434017,199.2617745,208.1549023,195.247463
2002,Marzo,270.6444396,274.7257943,276.1914467,271.5168805,268.8502343,267.2632215,261.68535,257.4923668,279.0595166,258.6664708
2002,Abril,239.734857,245.1925857,233.031066,243.7715641,249.0051353,243.6290255,236.5439664,225.5412183,240.0980064,210.5770739
2002,Mayo,291.9819509,291.8258782,261.2396183,288.9547173,308.145032,292.064656,267.0173676,267.6263609,276.2559019,328.8056271
2002,Junio,285.0161095,299.8391649,239.985762,268.6310386,334.5932356,313.6054583,241.5889627,289.6131537,277.6623481,234.2782136
2002,Julio,257.3581738,281.7609856,191.9655762,251.9679872,311.0678797,301.5221812,217.7022489,276.2327043,267.3979061,171.9059557
2002,Agosto,248.8936412,271.0000538,208.0188306,240.4544631,297.9089997,285.5733285,213.6796239,266.5201707,252.276204,152.4158775
2002,Septiembre,243.4528594,271.5348392,170.8329177,229.9265636,298.4003099,288.3380113,221.4473056,257.3485821,247.2086421,167.3590902
2002,Octubre,236.2326153,261.800547,165.5404708,232.6825489,288.9343833,277.4641683,201.9943171,253.0975874,239.3208545,162.2951132
2002,Noviembre,234.7037376,256.7973661,175.9766255,233.4760668,286.0959794,272.0396185,183.7017507,252.9572978,237.2075046,159.0725695
2002,Diciembre,232.5608091,247.7087864,178.2837825,224.8966936,292.8178185,271.9238656,179.8574183,238.8881121,224.0738167,155.3942126
2003,Enero,221.8350616,235.4315771,169.2427923,206.4552117,285.5988524,263.6122752,179.3052943,223.5758332,203.3426105,147.9533527
2003,Febrero,216.0151492,231.553227,166.8398294,198.8979351,278.5423701,246.6991784,177.4669962,217.8503085,197.4457833,141.8989251
2003,Marzo,197.7265124,209.0839455,162.9682815,178.9877588,252.5271646,221.4682954,163.6254488,200.9142192,184.2493165,127.0765995
2003,Abril,204.2865248,206.7015994,187.1697488,190.4247197,257.045438,222.8158055,164.4401697,206.2386294,189.5754991,125.2547666
2003,Mayo,219.857687,215.8796878,199.1615297,191.9546824,288.6054981,239.1575244,182.0655325,221.8053725,197.0075552,136.6543773
2003,Junio,218.5686824,216.2996927,202.5160473,194.5547016,277.7217405,241.1725007,185.6257318,223.4166859,195.561,143.0941887
2003,Julio,211.9775527,210.4957074,194.0184102,193.9281237,267.520572,229.4350071,187.4550212,211.7635469,189.3795273,137.578928
2003,Agosto,210.3328896,214.5244103,196.5486049,189.6759991,263.4542481,228.1650339,179.3258076,214.3345346,182.3191517,139.0181268
2003,Septiembre,219.7239806,216.953304,196.6572974,211.5086097,281.3341182,243.7125579,181.0932696,214.8754074,186.4885185,139.8072993
2003,Octubre,221.2030832,215.4518291,201.8540906,220.3192142,280.9241825,246.9802262,183.4906964,211.0041713,184.7061244,137.3370574
2003,Noviembre,225.2221756,224.1106637,197.7142979,216.7083888,292.4940052,253.0709485,193.648136,215.6189254,182.883696,137.2202783
2003,Diciembre,225.907901,211.1446219,196.6503543,227.3484128,299.2248122,255.4279135,193.9094974,213.6267038,181.1402366,133.1810995
2004,Enero,225.6783668,211.7825859,195.9574182,231.1698524,296.0811386,259.0316226,186.0467981,206.9622225,183.9270222,135.253176
2004,Febrero,227.2343273,213.9885889,199.4042734,222.8721053,298.7500574,268.4936316,193.523668,208.2148668,186.7263048,135.6822623
2004,Marzo,216.1150065,207.3310764,192.0503512,211.0070709,280.9234798,251.9070702,187.606284,197.3636214,177.5614775,129.1346754
2004,Abril,213.236423,205.445561,187.5986889,209.7688298,275.4719547,243.7396234,194.3482421,195.5450889,173.0154362,130.477198
2004,Mayo,222.6298364,215.5602206,188.6464241,208.7048736,294.6043802,263.808961,202.7705974,206.0937083,180.0611269,137.1515189
2004,Junio,218.5984519,212.514689,185.1806937,213.5331114,285.7865526,255.2020691,195.1710157,205.5051738,175.877296,135.7528039
2004,Julio,219.1773443,212.4339781,190.847844,212.2081849,283.8567829,256.4219422,195.4024011,204.1859157,177.4964802,138.1315637
2004,Agosto,225.3836007,215.8862125,201.2632846,214.00362,289.8580272,257.9439362,201.9870271,206.9985487,181.7222136,152.3451028
2004,Septiembre,227.4564036,213.4842805,205.2168627,226.4273551,293.1314297,255.1915654,195.8177794,206.6318068,180.7766822,150.154689
2004,Octubre,226.0106614,210.9718812,201.7992036,213.5134797,300.0140857,257.6787594,186.3023833,203.9338114,176.8672846,150.974123
2004,Noviembre,229.8871581,208.6773013,208.4782891,220.3077902,307.4590768,262.1902947,182.5387286,205.6754408,181.0661372,149.7641846
2004,Diciembre,236.4286669,207.9982451,217.445083,231.9956395,317.517243,268.2743898,185.4623141,207.573345,182.8765497,153.4968955
2005,Enero,234.6691679,210.3914048,221.5704723,231.0462688,304.3583427,263.8010144,186.9743137,205.3633731,183.3221169,164.3465342
2005,Febrero,225.9368245,202.0893256,213.385413,214.7537501,296.3486797,256.8925684,180.1201583,197.8632628,178.1522171,157.3816962
2005,Marzo,218.8643699,199.4850793,207.4946574,208.6923001,285.0137065,247.4804193,172.5766326,193.2680349,173.1562026,151.2608041
2005,Abril,220.8353302,199.233613,219.8997679,210.4213409,282.9456617,250.1258994,173.9268305,192.9889924,174.8237427,152.4389025
2005,Mayo,218.599742,195.8716068,231.3270493,208.3486376,272.3759373,236.0075027,174.1995169,189.2699874,174.106186,155.7968103
2005,Junio,214.9927704,194.8635679,232.548745,208.3921869,260.4654743,232.4061771,178.2963556,181.4491969,175.9120739,149.94727
2005,Julio,212.5233943,191.6459485,225.186941,210.58002,256.0994853,221.843238,185.3941808,181.4339009,174.7891514,151.9406921
2005,Agosto,216.0337852,195.1371141,227.7383095,220.8097483,259.9449579,229.1615299,177.5772118,183.2006228,173.6094183,155.8758017
2005,Septiembre,218.6081265,195.7470661,243.6474311,228.2940778,257.3337665,224.4707258,176.0214711,179.3383431,173.1404991,156.6486848
2005,Octubre,221.4990747,203.4247868,245.2502818,229.2883121,255.9935423,222.9356411,183.3247524,183.2270624,177.4110223,166.6884522
2005,Noviembre,219.6185503,195.211767,249.1014694,234.5524982,251.2087874,219.0492006,182.4604529,178.7859752,178.9020222,161.336166
2005,Diciembre,219.7200663,195.4551399,235.6367876,236.9647857,256.6588586,222.442951,184.285408,182.5840187,178.2851441,162.5417344
2006,Enero,221.9634708,195.8133803,249.1693366,230.8409968,258.9160924,225.3781262,183.954783,178.6203614,183.6016445,160.0666206
2006,Febrero,223.1048874,196.4822434,258.3407296,234.4572675,254.710032,223.2872501,190.6918652,177.3002402,183.5713054,160.3608712
2006,Marzo,227.018751,199.2743501,254.2855574,237.9664731,263.1864872,225.4074197,206.2194087,180.7758209,177.4371773,169.7932614
2006,Abril,226.0928382,193.2108231,256.1610176,237.2235621,266.6288052,228.8294109,202.3882503,182.7729865,169.194052,166.2586368
2006,Mayo,225.2736266,195.7970861,236.9337117,229.9077161,273.6443136,237.7044423,209.6799428,183.0827178,167.3308446,168.5427141
2006,Junio,224.102203,195.5555525,244.752411,229.6706895,266.9288906,230.5527648,210.4735046,184.2447237,164.2230124,169.0375814
2006,Julio,227.2853493,194.1555914,256.4283909,233.0481185,268.3631379,234.1700194,208.7725977,185.3999276,171.2671747,169.7672012
2006,Agosto,227.606931,195.4757447,253.5096731,233.3823804,266.9448809,240.9865604,216.5232683,187.5787858,172.6453377,170.7717682
2006,Septiembre,223.9078604,192.5500804,246.0625682,222.8886106,265.6859796,235.181677,218.3607832,186.9704024,170.5940138,170.3881377
2006,Octubre,223.4776369,189.2292735,247.3876876,224.657911,263.5746996,235.7017816,221.0052299,184.1388976,173.2843668,168.638647
2006,Noviembre,222.0960815,186.5919429,240.9475187,220.0185253,269.5186393,240.0035397,219.684738,182.5574426,167.7149247,162.5135682
2006,Diciembre,220.918402,184.6523232,240.7273623,217.6463887,267.6448875,238.9378253,223.2985178,181.3123621,167.0614255,161.4675389
2007,Enero,219.5434409,182.8998702,242.3971665,214.3520348,263.2463108,234.7352589,228.7692744,179.9006797,169.072228,161.339696
2007,Febrero,222.085821,185.3898202,249.5677214,214.2709412,266.2599049,238.4291244,229.2678768,181.323343,165.9898569,164.7871848
2007,Marzo,224.5626513,185.6097916,253.5944722,215.096237,271.8826049,239.7513153,229.145372,182.3573315,166.2951641,165.6930141
2007,Abril,222.2550073,183.615607,253.4328486,215.2529412,273.1565891,238.5899632,211.1054287,186.8316259,165.196666,152.7137509
2007,Mayo,224.5220903,184.7170657,264.2257044,215.9127713,268.2788743,236.6352556,224.7603879,184.9207706,165.6128625,163.0775866
2007,Junio,228.8843569,185.0986143,273.3697053,221.6024384,275.3803018,243.2642498,220.7841037,177.8011772,165.7789984,164.6848479
2007,Julio,228.7191065,185.4779952,274.8811404,222.0930874,273.0542152,241.7950684,221.5182371,176.4061484,164.4637545,167.3644919
2007,Agosto,229.9666363,186.6793662,267.3151619,226.2680962,275.1199869,243.2538224,231.1905172,188.2064498,164.9292014,171.6777345
2007,Septiembre,234.3268769,184.6638076,281.8105345,231.0378171,284.1531665,243.6138592,225.4588988,191.4627505,165.4832312,166.9308059
2007,Octubre,239.0143668,186.425209,286.1297191,234.0768419,288.4602937,247.2462657,244.0298435,191.1016567,168.3366054,174.8478755
